,text
0,"Neighborhood: Riverside Heights
Price: 320000 euro
Bedrooms: 4
House Size: 210 square meters

Description: Spacious 4-bedroom family home with a modern kitchen, open-plan living area, and a sun-drenched patio overlooking a private garden. The master suite features a walk-in closet and en-suite bathroom. Perfect for entertaining guests or relaxing with family.

Neighborhood Description: Riverside Heights is known for its scenic river views, tree-lined streets, and family-friendly parks. Residents enjoy weekend farmers' markets and easy access to top-rated schools and local cafes."
1,"Neighborhood: Old Town
Price: 185000 euro
Bedrooms: 2
House Size: 95 square meters

Description: Charming 2-bedroom townhouse with exposed brick walls and original hardwood floors. The updated kitchen opens to a cozy living room, and the private courtyard is ideal for morning coffee.

Neighborhood Description: Old Town boasts historic architecture, cobblestone streets, and a vibrant arts scene. Walk to boutique shops, art galleries, and trendy restaurants in this lively neighborhood."
2,"Neighborhood: Sunnydale
Price: 270000 euro
Bedrooms: 3
House Size: 140 square meters

Description: Modern 3-bedroom home featuring an open-concept layout, large windows, and a sleek kitchen with stainless steel appliances. The backyard is perfect for summer barbecues.

Neighborhood Description: Sunnydale is a peaceful suburb with excellent schools, playgrounds, and a community pool. Residents enjoy quiet streets and friendly neighbors."
3,"Neighborhood: City Center
Price: 450000 euro
Bedrooms: 2
House Size: 110 square meters

Description: Luxury 2-bedroom apartment in the heart of the city. Floor-to-ceiling windows offer panoramic skyline views. Includes access to a gym, rooftop terrace, and 24-hour concierge.

Neighborhood Description: City Center is bustling with energy, offering world-class dining, shopping, and entertainment. Everything you need is just steps away."
4,"Neighborhood: Maple Grove
Price: 210000 euro
Bedrooms: 3
House Size: 125 square meters

Description: Cozy 3-bedroom bungalow with a spacious living room, updated kitchen, and a large backyard with mature maple trees. Perfect for families or first-time buyers.

Neighborhood Description: Maple Grove is a quiet, family-oriented neighborhood with excellent schools, parks, and walking trails. Enjoy the annual Maple Festival each autumn."
5,"Neighborhood: Harbor View
Price: 390000 euro
Bedrooms: 4
House Size: 200 square meters

Description: Elegant 4-bedroom home with stunning harbor views. Features include a gourmet kitchen, formal dining room, and a large deck overlooking the water.

Neighborhood Description: Harbor View offers a relaxed coastal lifestyle with marinas, seafood restaurants, and scenic walking paths along the waterfront."
6,"Neighborhood: Willow Park
Price: 160000 euro
Bedrooms: 2
House Size: 90 square meters

Description: Bright and airy 2-bedroom apartment with a balcony overlooking Willow Park. Open-plan living and dining area, modern bathroom, and secure parking.

Neighborhood Description: Willow Park is a green oasis in the city, featuring expansive parks, playgrounds, and a popular weekend market."
7,"Neighborhood: Lakeside Estates
Price: 500000 euro
Bedrooms: 5
House Size: 260 square meters

Description: Stunning 5-bedroom villa with private lake access, a heated pool, and a chef’s kitchen. The master suite includes a spa-like bathroom and balcony with lake views.

Neighborhood Description: Lakeside Estates is an exclusive gated community with private docks, tennis courts, and a clubhouse. Enjoy peaceful walks around the lake."
8,"Neighborhood: Elm Street
Price: 130000 euro
Bedrooms: 2
House Size: 80 square meters

Description: Affordable 2-bedroom starter home with a renovated kitchen, cozy living room, and fenced backyard. Ideal for young couples or small families.

Neighborhood Description: Elm Street is a friendly neighborhood with local shops, schools, and easy access to public transport."
9,"Neighborhood: Sunset Hills
Price: 350000 euro
Bedrooms: 4
House Size: 190 square meters

Description: Beautiful 4-bedroom home with a spacious open-plan living area, modern kitchen, and a large terrace perfect for watching sunsets.

Neighborhood Description: Sunset Hills is known for its rolling hills, panoramic views, and tranquil atmosphere. Residents enjoy hiking trails and community events."
